deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
fake_1034.wav,2.8722672,2.5681083,3.887997,3.271536,3.4823036,NISQAv2
real_979.wav,4.507838,3.8188217,4.5495157,4.392014,4.45784,NISQAv2
real_2144.wav,3.9953406,4.359178,4.426334,3.838688,4.1800942,NISQAv2
fake_1752.wav,3.1690414,2.7043612,3.9032905,3.3651094,3.8202088,NISQAv2
real_1465.wav,4.3207088,3.9512677,4.4626327,3.8637385,4.2380958,NISQAv2
fake_2273.wav,3.3303723,3.4828038,3.855708,2.764231,3.7809012,NISQAv2
fake_145.wav,2.3790343,2.7402875,3.4475284,2.423062,3.3752964,NISQAv2
real_789.wav,3.2651818,3.1597087,3.742706,2.9847853,3.7227068,NISQAv2
real_1303.wav,2.1228032,3.1386867,2.5270147,2.6839452,3.4208715,NISQAv2
real_951.wav,4.287078,4.1583915,4.3879404,4.0222754,4.361597,NISQAv2
fake_623.wav,2.800289,3.261577,3.7161837,2.8493383,3.495206,NISQAv2
fake_2515.wav,2.8747537,3.199962,2.677728,2.9310033,3.6980577,NISQAv2
real_1317.wav,3.7669997,4.173903,4.0478544,3.6900122,3.978721,NISQAv2
fake_637.wav,2.8541143,3.2185924,3.4218247,2.683391,3.5436332,NISQAv2
fake_2501.wav,3.3593616,3.6650517,3.973326,3.0584948,3.8746533,NISQAv2
real_945.wav,4.473899,4.0534134,4.578214,4.242925,4.5019293,NISQAv2
fake_1008.wav,3.604433,2.8179967,4.309183,3.5402508,4.017495,NISQAv2
real_2178.wav,4.4425697,3.9726553,4.5212708,4.2490106,4.468993,NISQAv2
real_1471.wav,4.245659,3.664631,4.383904,3.818881,4.377856,NISQAv2
fake_2267.wav,3.2827013,3.6652095,3.788766,2.6254144,3.7006462,NISQAv2
fake_151.wav,2.3448486,3.1255772,3.5528479,2.2155101,3.4983218,NISQAv2
real_2193.wav,4.658577,4.206228,4.6557302,4.272596,4.5599766,NISQAv2
fake_1785.wav,2.9096224,2.1401381,4.086473,3.0096018,3.6696022,NISQAv2
real_776.wav,4.053986,4.2438927,3.7854173,3.7540965,4.2544575,NISQAv2
fake_804.wav,2.569573,3.2406514,3.3482468,1.9335606,3.4053657,NISQAv2
fake_810.wav,2.3204358,2.2263663,3.66652,2.2688735,3.3321364,NISQAv2
real_762.wav,4.027704,4.06423,4.3967767,3.672851,4.2821198,NISQAv2
real_2187.wav,4.5646605,4.1672993,4.6065173,4.271542,4.5166936,NISQAv2
fake_1791.wav,2.570796,2.0835068,3.8197968,2.9908745,3.3714936,NISQAv2
fake_1949.wav,3.1433241,3.150205,3.560449,2.859718,3.5125117,NISQAv2
fake_2298.wav,3.3586943,3.4810977,3.829778,2.9476888,3.736949,NISQAv2
fake_1961.wav,1.481544,2.7258947,2.5411713,1.943116,2.429884,NISQAv2
fake_186.wav,2.5683296,2.214667,3.837299,2.8429258,3.4198244,NISQAv2
real_992.wav,4.1944623,3.2835078,4.341966,4.011434,4.2784667,NISQAv2
